2 8
350188 300421 1
268144 386581 1
432345 280673 1
405609 418329 1
361338 344879 1
349750 340465 1
359664 354863 1
458823 340786 1
384990 407464 1
343029 362082 1
280193 307138 1
375994 365943 1
235286 289458 1
300886 353813 1
369100 444342 1
334778 324774 1
369619 390939 1
379953 383338 1
314579 260995 1
199770 323097 1
422206 431058 1
418559 291110 1
273463 290739 1
438824 294843 1
402408 418205 1
435220 320742 1
381522 351187 1
387642 419183 1
540416 268962 1
389219 306365 1
343276 391062 1
279643 271832 1
438925 288314 1
266268 395989 1
369915 449414 1
376414 280948 1
288872 272186 1
346107 388175 1
300597 284652 1
410418 465172 1
226622 413267 1
295367 360868 1
423532 327449 1
239181 409356 1
338280 462435 1
353230 391389 1
470884 254796 1
376194 326676 1
359780 409290 1
508550 257682 1
338208 252113 1
317541 455142 1
446624 305390 1
399982 362963 1
392962 390481 1
415041 368511 1
413597 374340 1
352672 359583 1
467625 342292 1
408761 326858 1
424080 370183 1
505565 333603 1
412976 347952 1
305068 284553 1
323589 276516 1
386902 403340 1
278248 277577 1
356586 203123 1
241374 369846 1
440025 370521 1
419857 308992 1
299664 444944 1
399297 389730 1
319511 383824 1
459878 392126 1
374512 393393 1
295801 360451 1
431652 443648 1
372575 415262 1
505813 442870 1
331056 344857 1
395117 370673 1
348630 231709 1
380565 426864 1
237588 352400 1
324566 390465 1
351832 309240 1
202267 322393 1
437813 398301 1
450293 394848 1
270880 375210 1
344719 331078 1
426659 231345 1
348971 369588 1
235458 294707 1
374660 257107 1
261387 328628 1
277154 244986 1
391920 322299 1
343910 351700 1
376913 252600 1
325398 365603 1
385874 410726 1
263580 324932 1
351525 403681 1
488546 350974 1
318036 350506 1
387707 350915 1
317681 257064 1
356325 358708 1
546759 275823 1
415394 418052 1
242401 321873 1
357418 213434 1
310376 270498 1
380649 310341 1
383288 336829 1
151700 351102 1
155799 354358 1
142857 352716 1
152726 349144 1
151008 349692 1
145865 351895 1
148629 350242 1
151083 353684 1
161316 348971 1
158758 352360 1
145731 350480 1
159597 355339 1
152294 345996 1
149801 349982 1
152260 350394 1
149352 342567 1
