2 14
304116.120 356149.520 1
327279.960 365888.540 5
306077.040 360157.160 1
322356.900 365788.460 5
318059.340 352793.300 4
306054.300 362346.620 1
306610.260 353338.880 1
307131.360 352846.760 1
321314.820 354585.860 4
316565.160 360922.880 2
308602.560 357064.280 2
312252.420 358004.600 1
304695.600 358359.620 1
309523.320 362691.800 2
304106.040 353547.500 1
324450.300 359629.880 6
324986.100 359026.760 6
330452.940 361453.340 3
308990.460 362282.540 2
329925.540 360916.880 3
316476.900 363964.040 2
305041.380 355405.040 1
321734.460 364523.300 5
330349.260 359552.600 3
325248.240 358089.800 6
330242.100 368847.500 5
321400.200 361945.640 6
319592.760 355506.020 4
312868.620 353829.320 1
321081.060 355213.100 4
312962.460 364521.500 2
326502.000 366639.980 5
304120.680 362185.700 1
332823.060 355953.080 3
324358.980 358516.040 6
324134.400 364872.560 5
311828.040 365637.320 2
309788.460 353978.120 1
333717.060 360378.020 3
320402.220 356918.900 4
303784.560 354683.600 1
315664.380 366087.320 2
319162.560 353949.920 4
329659.980 358930.340 3
332250.420 366780.020 3
325856.940 356840.780 6
323616.060 357115.340 6
319225.800 353437.040 4
304653.720 359170.820 1
321676.080 366351.080 5
325023.960 357241.040 6
304745.880 357704.300 1
304606.500 355027.520 1
308201.760 362799.680 2
325388.520 359686.760 6
305287.920 355070.720 1
312108.480 355878.320 1
312052.140 362006.360 1
321107.400 362425.940 6
307664.700 363084.200 2
333709.620 359041.820 3
308669.460 360299.480 2
334272.720 364728.920 3
333542.340 363855.560 3
317370.240 356874.860 2
312569.580 353292.440 1
325887.480 366198.200 5
325756.320 367067.300 5
302742.180 358349.900 1
316790.100 359360.000 2
319275.240 354546.920 4
311974.260 359577.020 1
310740.360 364316.900 2
303451.620 361905.560 1
321544.380 366769.640 5
317373.660 366498.560 2
321962.580 352622.240 4
329584.260 358232.900 3
304455.540 356851.220 1
303834.360 361161.680 1
316334.820 358911.200 2
327025.200 366581.060 5
307119.120 352853.960 1
309229.320 359380.400 2
312399.840 358902.800 1
323880.360 357218.180 6
314775.240 364066.280 2
305538.600 356865.080 1
331744.620 354405.800 3
307794.600 358032.620 2
322973.700 352689.260 4
330361.980 360906.740 3
303749.160 355383.620 1
317789.040 354473.960 4
333098.640 359154.140 3
312569.820 363883.640 2
314373.360 364464.560 2
332410.860 353435.720 3
310360.980 366330.860 2
317431.080 361403.060 2
319015.500 353045.180 4
305849.520 353537.180 1
309382.320 365626.040 2
320727.540 359225.600 4
315840.360 356756.300 2
313448.280 354505.340 1
313690.080 360027.800 1
330735.900 352648.880 3
308704.800 364241.900 2
315222.180 364249.940 2
312114.300 353186.120 1
333360.660 356064.920 3
327151.080 366163.100 5
322262.100 365508.260 5
327454.860 357662.960 3
329969.220 358749.320 3
304449.420 359507.420 1
319710.780 364544.120 5
312972.600 355107.980 1
330583.920 358999.220 3
311956.020 365935.640 2
312682.140 354250.100 1
320671.140 352637.300 4
331026.000 366369.140 5
304850.100 356875.760 1
330396.840 359872.100 3
322388.820 361000.880 6
320419.680 358905.380 4
324886.080 357237.620 6
324277.020 361289.780 6
337725.900 360931.400 3
323330.760 362064.620 6
314369.580 354577.280 1
322467.360 366653.660 5
324375.720 353752.640 4
312263.940 364303.940 2
317266.620 356545.460 2
322402.320 362059.220 6
305141.160 356689.520 1
332267.820 362015.000 3
322778.580 362214.800 6
320224.260 365855.000 5
308526.300 360454.820 2
336420.720 355734.200 3
321814.020 357063.380 4
324235.680 352919.900 4
321431.700 358926.200 4
317488.980 366537.500 2
325325.400 352816.460 4
316275.060 364909.340 2
333195.240 362939.000 3
325891.560 365871.920 5
332573.520 362970.440 3
308535.300 352899.620 1
311361.840 361562.600 1
313308.720 355701.020 1
313546.500 360920.960 1
309048.960 352335.920 1
312169.800 353574.140 1
330311.040 354685.400 3
322328.100 353271.920 4
324178.440 359149.100 6
315950.760 359408.300 2
305245.440 357374.720 1
325415.220 368187.320 5
330096.900 360959.840 3
316581.480 354038.240 4
316456.440 357675.140 2
311392.020 361668.560 1
324107.880 356247.020 6
312241.920 353488.400 1
313198.200 366531.380 2
312955.560 356550.380 1
332672.160 359193.680 3
332720.100 362559.860 3
316655.280 357094.760 2
313133.940 365013.140 2
313563.360 357241.040 1
332983.200 360800.120 3
311994.600 366568.280 2
304220.160 362384.060 1
303660.240 356054.300 1
307287.600 354579.200 1
333881.940 362096.240 3
317358.420 363471.080 2
312414.480 358777.880 1
302206.500 354200.900 1
329776.740 359624.720 3
331019.400 354218.720 3
320387.100 365790.140 5
313555.140 354744.920 1
321610.380 362674.400 6
321976.860 353507.180 4
325494.660 358196.960 6
332902.440 358725.380 3
323268.960 356825.240 6
327111.060 366385.760 5
316982.460 352888.640 4
324265.560 365455.040 5
324148.380 363244.040 6
308534.640 363873.800 2
308758.860 363623.720 2
317052.420 365880.920 2
320268.840 365440.640 5
306325.980 353086.520 1
332713.440 363503.060 3
312503.400 354519.920 1
320710.440 362232.320 6
316433.520 363199.340 2
317360.940 360424.760 2
333862.260 355383.920 3
324762.480 356964.620 6
316303.380 357944.540 2
325288.980 362690.000 6
315872.100 366081.200 2
329367.960 359772.200 3
305393.520 362794.100 1
332607.540 367214.900 3
313405.260 354091.280 1
323576.520 358124.840 6
304098.000 361261.040 1
329388.480 359923.460 3
304194.720 358836.680 1
323442.240 352868.600 4
317278.920 362968.040 2
308377.740 357799.040 2
